name,price
двойной эспрессо,120
флэт уайт,210
капучино,180
латте,180
раф,180
матча латте,180
фильтр-кофе,150
американо,150
какао,180
зеленый чай,150
черный чай,150
пунш черная смородина-базилик-мята,200
эрл грей,150
жасминовый чай,150
латте голубика-мучо манго,380
матча латте роза-сакура,380
мокко шоколадно-трюфельный,380
раф тот самый батончик,380
латте таро,380
раф соленые лимоны ,380
капучино крем-брюле ,380
латте лимон-смородина,350
ягодный бамбл,350
матча бамбл,300
апельсиновый бамбл,300
лимонад малина-грейпфрут,300
фраппе ванильный,300
фраппе карамельный,300
краш смузи,300
морковный,300
грейпфрутовый,300
апельсиновый,300
"Munich Helles 0,45",220
"Blanche Ma Cherie 0,45",220
"Ma Chere Framboise 0,45",240
"Kaleidoscope Tropics 0,45",240
"Moose, Just Moose N/A 0,33",150
"Cherie Cherry 0,45",240
"Молоко Убежало 0,45",240
"IPA Overfall 0,45",240
"APA Crazy Moose 0,45",290
"blanc de blancs brut kuban’ игристое белое сухое, Россия, 13%",350
"adagum valley riesling kuban’ белое сухое, Россия, 12%",450
"No Pasaran Utiel-Requena DO красное сухое, Испания, 12,5%",2500
"avtorskoe cabernet sauvignon kuban' красное сухое, Россия, 12%",1400
"avtorskoe viorika kuban' белое сухое, Россия, 12%",1400
"silene pinot grigio terre di chieti igt белое сухое, Италия, 12,5%",450
"river course pinot noir rheinhessen красное сухое, Германия, 12%",580
"kindzmarauli askaneli красное полусладкое, Грузия, 12,5%",580
суп из спаржи с вешенками и трюфельным маслом,270
крем-суп грибной с кешью и вешенками,390
удон с фрикадельками в кокосовом терияки с криспи луком,490
гречка с фрикадельками и вешенками,360
фрикадельки в томатном соусе с макаронами,380
сэндвич с ветчиной и карамелизированным луком,350
"сэндвич с фрикадельками, вешенками и томатами конфи",350
с тунцом в устричном соусе,350
филадельфия с лососем,350
с фаршем в соусе болоньезе,350
со спайси креветкой,350
"сэндвич с фрикадельками, вешенками и томатами конфи",350
"гриль-чиз с курицей, яйцом и криспи беконом",350
сэндвич с ветчиной и карамелизированным луком,350
хлеб чесночный,160
хлеб зерновой на ржаной закваске,210
хлеб гречневый подовый,230
чиабатта пшеничная,160
скандинавская булочка с корицей,160
круассан миндальный,200
круглый круассан облепиха-манго,270
круглый круассан ягодный,270
синнабон с варёной сгущёнкой и пеканом,190
марсельская сосиска в тесте,200
круглый круассан соленая карамель,270
круглый круассан нутелла-банан,270
круассан ультрашоколадный,200
дениш с сыром фета и томатами конфи,200
круассан классический,250
булка с маком,350
круассан лиловый со смородиной,360
салат цезарь с креветками,530
салат цезарь с лососем,530
салат цезарь с курицей,450
боул с креветками,550
суп-лапша с курицей,320
крем-суп грибной с кешью и вешенками,390
суп сырный с беконом и подкопченной морковью,390
суп из спаржи с вешенками и трюфельным маслом,270
удон с фрикадельками в кокосовом терияки с криспи луком,490
паста альфредо с курицей,480
паста карбонара,480
удон с морепродуктами в соусе том ям,550
бифштекс из индейки с бэби картофелем,560
паста томатная с пепперони,480
гречка с фрикадельками и вешенками,360
сырный омлет с курицей и кукурузой,450
овсяная каша с пармезаном и томатами конфи,350
"шакшука с сыром фета, халапеньо и шпинатом",450
авокадо-тост с яйцом пашот,390
шакшука,390
драники с лососем и яйцом пашот,490
большой сытный завтрак,650
большой фэнси завтрак,650
большой английский завтрак,650
драники с беконом и грибным соусом,490
большая порция сырников,440
сырники,280
овсяная каша с финиками и орехами,250
4 сыра,600
пепперони,600
мясная,600
ветчина и грибы,600
ветчина и копченый тофу,600
