title,link,salary,company,description
Бариста в ТРЦ Ривьера (м. Автозаводская),https://adsrv.hh.ru/click?b=1544697&place=35&meta=TQoDVKC1tIESJ4JTBWBHFytryxURWONYxIYhoFGxhYao6IzYx_Z7VRY-BzbUFIEo41oMCLqz__slU3ZxZVp4SjDxKEOH9Bx0wMWTcF1fz5vfxrLvHl8vC_4wvHLP41anq16ulqexnbDbCu1rehEVzVurNnu9NpjOqHA1LreoqU1me-UwnzGeMYj3l5FenMSiACIuiPVrmQvDBgGTLybjECToCD6uIrk1reN3sNgAe3_pQbTZOX5GqpLN-X77y4e9KlaClEQcc7TPJrBV0XdOnfJcCpMZwreTz83Mh5kt9tStHztyZ9xCAt3ldYe4HHT5ae0ls0FP2hc-1_vixU-U7cxLAqxTYCuBXC4Ne1oNKSFLPBjXcUYC9_xHRdnQhpBdS8SYZOfQGDrei5arspeR5lHf-2vZJIlWJVRamONmjwjMOz7qsM7ZSN6g_hxXvzpNtqNTHCYdxthJcNoB0rUYUpD2dChc-YqDY_Levqu3KzGEhWCfCqfeN790dizHXkp6LBIjdiDPmlf-NTwbNGIbIybxJbJOK3sfdot26CTWDt4%3D&clickType=link_to_vacancy,"от 56 550 до 75 000 ₽ за месяц,  на руки",Не указана,"Macaronika - первая российская фабрика и крупнейший производитель пирожных макарон с 2017 года. Ежедневно вдохновляем на творчество тысячи любителей макарон и ищем вдохновение сами. Мы собрали дружную, современную, творческую команду и сейчас находимся в поиске активных и классных Бариста в ТРЦ Ривьера (м. Автозаводская, ЗИЛ). Мы ждем в нашу команду тех, кто:  Уверен в себе и всегда на позитиве, дружелюбны, умеют находить с людьми общий язык, обладают прекрасным чувством юмора: Аккуратны, пунктуальны, трудолюбивы и всегда стремятся делать мир вокруг лучше; Если умеют варить вкусный кофе - отлично. А не умеют – мы с удовольствием научим.  Что нужно будет делать:  С удовольствием общаться с покупателями, раскрывать гастрономические особенности вкуса и текстуры пирожных макарон; Варить вкусный и качественный кофе, получать благодарность и улыбки любителей макарон; Работать на кассе; Поддерживать на постоянной основе красивую выкладку пирожных на витрине; Проводить инвентаризации, принимать товар и вести отчетность по смене; Постоянно поддерживать идеальную чистоту и порядок на рабочем месте.  Получите от нас:  Официальное трудоустройство по ТК РФ; Ставка до аттестации 270 руб/час. Ставка после первичной аттестации 290 руб/час на руки + достойная премия по выполнению плана по Т/О; Возможность ежемесячного премирования по результатам проверки торговых точек; Возможность повышать свою ставку через систему обучения и аттестаций; Стабильные выплаты и оплачиваемая стажировка с первого дня; Оплату обеденного перерыва; Доплату за стаж; Премию по акции ""Приведи друга""; Научим и обучим всему, что знаем сами; Прозрачную систему обучения и наставничества; Гибкий график работы 2/2 с 09:30 до 22.30; Скидки на продукцию компании; Стильную корпоративную форму; Участие во внешних корпоративных мероприятиях. Выстраиваем долгосрочное сотрудничество - не вариант для тех, кто ищет подработку на месяц.  За 5 лет наша компания выросла в 20 раз и сегодня, мы не просто лидеры индустрии по производству пирожных, а целое творческое объединение ярких и неординарных личностей, которые воплощают в жизнь самые смелые идеи! Раскройте свои таланты и реализуйте потенциал вместе с Macaronika!"
Бариста,https://hh.ru/vacancy/111440955?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"до 99 990 ₽ за месяц,  на руки",Не указана,"PIMS это компания №1 по производству напитков на основе китайских чаев с качественным сервисом. Мы всегда превышаем ожидания гостя, создаем для него благоприятную атмосферу и эмоции. PIMS хочет объединить свободных и современных людей, разделяющих общие ценности. Мы активно развиваемся и собираем команду, готовую развиваться и расти вместе с нами.Будем рады видеть тебя:Если ты открыт к новым идеям и новым возможностям.Если ты хочешь создавать с нами уникальный продукт.Даже если ты без опыта работы, но заряжен и готов пробовать, мы поможем стать профессионалом!Обязанности:Качественное и быстрое приготовление напитков;Поддерживать порядок и чистоту на рабочем месте;Предоставление фирменного сервиса нашим гостям;Общение с гостями, работа за кассой;Поддерживать дружелюбную атмосферу с гостями и внутри коллектива;Соблюдение стандартов обслуживания и сервиса;Требования:Ориентация на клиента, умение работать с людьми;Коммуникабельность, вежливость;Способность создавать вокруг себя гостеприимную атмосферу;Желание работать в активном режиме;Опрятный внешней вид;Готовность работать в команде.Условия:Оформление по ТК РФ;Стабильная заработная плата 2 раза в месяц;Гибкий график, плавающие выходные, смены по 8-10 часов;Стильная униформа за счет компании;Скидка 50% на продукцию;Возможность карьерного роста;Дружный коллектив;Возможность совмещать работу с учебойДополнительная мотивация и бонусы.Все локации находятся в центре Москвы, легко и удобно добираться.Мы ждет тебя в нашу дружную семью ПИМС!ИЩЕМ СОТРУДНИКОВ НА УТРЕННИЕ И ДНЕВНЫЕ СМЕНЫДоступные для работы локации:PIMS «Красная роза», м. Парк культурыPIMS «Сити», м. Деловой центрPIMS «Технопарк», м. ТехнопаркPIMS «ВДНХ», м. Ботанический сад"
Бариста,https://hh.ru/vacancy/112334568?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,Какая оплата труда?,Не указана,"STARS COFFEE – это любовь к кофе Приглашаем заряженных на успех бариста присоединиться к крутой команде и стать кофейным профи! Тебе предстоит:- Готовить напитки и подавать наши супер-десерты;- Проводить оплату по кассовому аппарату;- Поддерживать дружелюбную атмосферу в кофейне и заряжать гостей на позитивное настроение; Кстати, нам не важен опыт работы, мы сами погрузим тебя в мир кофе) И еще немного важного:- У нас нет никаких штрафов;- Мы точно подберем тебе удобную локацию кофейни)- Мы гарантируем работу по удобному графику) И еще кое-что:- Мы официально трудоустраиваем в штат STARS;- У нас авторское обучение;- Для наших сотрудников действует лучшая система привилегий: 30% кэшбек на все продукты в кофейнях Приходи работать к нам и приводи друзей! За каждого приведенного друга ты получишь 15000 рублей!*Не упусти шанс стать частью нашей команды!STARS ждет тебя!Приветствуется опыт работы в КФС, Ростикс, Вкусно и точка, Додо Пицца, Папа Джонс, Кофикс (COFIX),Surf Coffee, кофейня One&Double, Coffee Point, даблби, Skuratov, Шоколадница, ВкусВилл кафе, Хлеб насущный, Surf Coffee, Пицца Фабрика, Сабвей (Subwаy) Coffee Like, Бургер Кинг (Вurgеr Кing), Крошка Картошка и другие.*подробности акции уточняйте у нанимающего менеджера или сотрудников кофеен"
Бармен-бариста,https://hh.ru/vacancy/118596093?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 ₽ за месяц,  на руки",Не указана,"Joki Joya — это парки развлечений для всей семьи. Сегодня бренд Joki Joya является лидером индустрии детских развлечений в России и состоит из 33 парков в 3 городах: 22 в Москве и МО, 10 в Санкт-Петербурге и 1 в Твери.В ресторан JOKI JOYA в ТРК ""РИГАМОЛЛ"" (Новорижское шоссе, 23-й километр, вл2с1, 3 этаж) мы ищем в команду коллегу, который будет готовить напитки для наших гостей. * Присутствует бесплатный транспорт от МЦД Павшино, метро Строгино и метро Щукинская.* Также можно будет доехать до Аутлет-Архангельское на бесплатном шаттле от метро Крылатское. От Аутлета до РИГАМОЛЛ идти менее 10 минут. Мы предлагаем:  заработную плату: ставка за смену 3800 руб. + 200 руб. (компенсация проезда) + % с банкетов + чай; работа в сменном графике: 2/2, 4/3, 5/2, время работы с 9:00 до 22:00; стабильные выплаты 2 раза в месяц; бесплатное стафф питание (завтрак, обед и ужин); стильную форму; перспективы карьерного роста до руководящих позиций; весёлые корпоративные мероприятия для сотрудников.  Чем предстоит заниматься:  работать с кассой (у нас удобная и простая система IIKO); приготовлением и отдачей чая, кофе, молочных коктейлей, соков, слабоалкогольных напитков; подготовкой бара ресторана к открытию и закрытию; поддержанием порядка и чистоты на рабочем месте.  От вас мы ждём:  умение работать в команде; доброжелательность к гостям и коллегам.  Можешь написать или позвонить по номеру указанному в вакансии."
Бариста,https://hh.ru/vacancy/116935696?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 до 120 000 ₽ за месяц,  на руки",Не указана,"Качественное и быстрое приготовление напитков; Поддерживать порядок и чистоту на рабочем месте; Предоставление фирменного сервиса нашим гостям; Общение с гостями, работа за кассой; Поддерживать дружелюбную атмосферу с гостями и внутри коллектива; Соблюдение стандартов обслуживания и сервиса; Требования: Ориентация на клиента, умение работать с людьми; Коммуникабельность, вежливость; Способность создавать вокруг себя гостеприимную атмосферу; Желание работать в активном режиме; Опрятный внешней вид; Готовность работать в команде; Условия: Оформление по ТК РФ; Стабильная заработная плата 2 раза в месяц; Гибкий график, плавающие выходные. Стильная униформа за счет компании; Скидка 50% на продукцию; Возможность карьерного роста; Возможность совмещать работу с учебой Дополнительная мотивация и бонусы. Мы ждет тебя в нашу дружную семью ПИМС! Ключевые навыки Грамотная речь Работа в команде Креативность Грамотность Дружелюбность Чистоплотность Позитивный настрой Умение работать в команде Навыки продаж Способность быстро обучаться Навыки улаживания конфликтов"
Бариста (м. Полежаевская),https://hh.ru/vacancy/78391476?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 80 000 до 90 000 ₽ за месяц,  на руки",Не указана,"ВкусВилл - бренд натуральных продуктов для здорового питания с чистым и честным составом. Забота о себе и о будущем в нашем ДНК. Мы делаем полезное вкусным, а еще создаем атмосферу взаимовыручки и человечности, и вы можете помочь нам в этом.   Мы развиваемся и растём, поэтому ищем себе в команду бариста.   Что предлагаем:  Официальное оформление и стабильную ""белую"" заработную плату. Возможность работать в комфортной обстановке без штрафов. Средний доход от 80 000 рублей после вычета налога. Сезонные доплаты. Премии за трудоустройство друзей в компанию до 30.000 рублей. Кэшбэк 15% бонусами на покупки во ВкусВилл. Компенсацию питания, мед. книжки, фирменной одежды и обучение. Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг, лекарств и занятия спортом. Доплаты за выход на работу в праздничные дни.  Что нужно будет делать:  Приготовление и подача кофе, чая, соков по рецептуре кафе. Консультирование покупателей, работа на кассе. Работа с ассортиментом, проведение инвентаризации. Контроль сроков годности товара и актуальности ценников. Выкладка товара и поддержание наполненности витрины. Работа с техникой (автоматическая кофемашина, блендер, соковыжималка, гриль, ледогенератор). Поддержание чистоты и порядка в зоне кафе и зоне посадки гостей. Знание ассортимента и состава товаров. Предложение новинок и сопутствующего товара на основе предпочтений покупателя.    Мы хотим, чтобы полезные продукты были доступны всем. Становитесь частью команды ВкусВилла и помогайте строить уникальную, полезную и масштабную историю!"
Продавец-бариста (м. Юго-Западная),https://hh.ru/vacancy/75624924?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 70 000 до 90 000 ₽ за месяц,  на руки",Не указана,"С ВкусВилл начинается путь к отличному здоровью! В наших магазинах вы не найдете ни алкоголя, ни сигарет - это залог создания уютной и приятной атмосферы для искушенных гурманов с изысканным вкусом, приверженцев здорового образа жизни. Мы всегда в поиске хороших людей, которым нужна хорошая работа. У нас нет штрафов. Есть компенсация медицинских книжек и частичная компенсация фитнеса. Обязанности:  Приготовление и подача качественного кофе, чая, соков по рецептуре кафе; Консультирование покупателей, работа на кассе; Работа с ассортиментом, проведение инвентаризации. Контроль сроков годности товара, контроль актуальности ценников; Выкладка товара и поддержание наполненности витрины; Работа с техникой (автоматическая кофемашина, блендер, соковыжималка, гриль, ледогенератор); Поддержание чистоты и порядка в зоне кафе и зоне посадки гостей; Знание ассортимента и состава товаров. Предложение новинок и сопутствующего товара на основе предпочтений покупателя; Создание позитивной атмосферы для покупателей кафе.    Требования:  Интерес к кофейной культуре; Отличные коммуникативные навыки и умение общаться с клиентами; Хороший вкус и чувство стиля в оформлении напитков и витрин кафе. Готовность обучаться и развиваться.  Условия:  Официальное оформление и стабильная ""белая"" заработная плата(также есть возможность оформления по ГПХ с еженедельными выплатами заработной платы) Отсутствие штрафов Средний доход от 70 000 рублей после вычета налога; Надбавки для сотрудников за стаж Мы компенсируем питание, мед. книжку, фирменную одежду и обучение. Премии за трудоустройство друзей в компанию, а также доплаты за выход на работу в праздничные дни; Мы предлагаем работу по графикам 3/3, 4/2 и др. с гибкими рабочими часами с 8:00/9:00 до 20:00/21:00; Кешбэк 15% бонусами на покупки во ВкусВилл Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг и абонемента в фитнес-клуб.  Присоединяйтесь к нам и станьте частью команды, которая делает жизнь наших клиентов более комфортной и вкусной!"
"Бариста (м. Коломенская, Андропова21)",https://hh.ru/vacancy/118541833?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 60 000 ₽ за месяц,  на руки",Не указана,"ВкусВилл - бренд натуральных продуктов для здорового питания с чистым и честным составом. Забота о себе и о будущем в нашем ДНК. Мы делаем полезное вкусным, а еще создаем атмосферу взаимовыручки и человечности и вы можете помочь нам в этом. Мы развиваемся и растём, поэтому ищем себе в команду бариста. Что предлагаем:   Официальное оформление и стабильную ""белую"" заработную плату.   Возможность работать в комфортной обстановке без штрафов.   Средний доход от 60 000 рублей после вычета налога. Сезонные доплаты.   Гибкий график на выбор: 2/2, 3/3, 4/2.   Премии за трудоустройство друзей в компанию до 15.000 рублей.   Кэшбэк 15% бонусами на покупки во ВкусВилл.   Компенсацию питания, мед. книжки, фирменной одежды и обучение.   Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг, лекарств и занятия спортом.   Доплаты за выход на работу в праздничные дни.   Что нужно будет делать:   Приготовление и подача кофе, чая, соков по рецептуре кафе.   Консультирование покупателей, работа на кассе.   Работа с ассортиментом, проведение инвентаризации. Контроль сроков годности товара и актуальности ценников.   Выкладка товара и поддержание наполненности витрины.   Работа с техникой (автоматическая кофемашина, блендер, соковыжималка, гриль, ледогенератор).   Поддержание чистоты и порядка в зоне кафе и зоне посадки гостей.   Знание ассортимента и состава товаров. Предложение новинок и сопутствующего товара на основе предпочтений покупателя.     Мы хотим, чтобы полезные продукты были доступны всем. Становитесь частью команды ВкусВилла и помогайте строить уникальную, полезную и масштабную историю! Требования:  Ориентированность на клиента и умение работать с людьми; Соблюдение стандартов сервиса; Готовность к обучению; Ответственный подход к работе и выполнение поставленных задач в срок."
"Бариста (м. Озёрная, Б. Очаковская, 32)",https://hh.ru/vacancy/118540689?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,"от 74 460 до 110 000 ₽ за месяц,  на руки",Не указана,"ВкусВилл - бренд натуральных продуктов для здорового питания с чистым и честным составом. Забота о себе и о будущем в нашем ДНК. Мы делаем полезное вкусным, а еще создаем атмосферу взаимовыручки и человечности и вы можете помочь нам в этом. Мы развиваемся и растём, поэтому ищем себе в команду бариста. Что предлагаем:   Официальное оформление и стабильную ""белую"" заработную плату.   Возможность работать в комфортной обстановке без штрафов.   Средний доход от 75 000 рублей после вычета налога. Сезонные доплаты.   Гибкий график на выбор: 2/2, 3/3, 4/2.   Премии за трудоустройство друзей в компанию до 15.000 рублей.   Кэшбэк 15% бонусами на покупки во ВкусВилл.   Компенсацию питания, мед. книжки, фирменной одежды и обучение.   Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг, лекарств и занятия спортом.   Доплаты за выход на работу в праздничные дни.   Что нужно будет делать:   Приготовление и подача кофе, чая, соков по рецептуре кафе.   Консультирование покупателей, работа на кассе.   Работа с ассортиментом, проведение инвентаризации. Контроль сроков годности товара и актуальности ценников.   Выкладка товара и поддержание наполненности витрины.   Работа с техникой (автоматическая кофемашина, блендер, соковыжималка, гриль, ледогенератор).   Поддержание чистоты и порядка в зоне кафе и зоне посадки гостей.   Знание ассортимента и состава товаров. Предложение новинок и сопутствующего товара на основе предпочтений покупателя.     Мы хотим, чтобы полезные продукты были доступны всем. Становитесь частью команды ВкусВилла и помогайте строить уникальную, полезную и масштабную историю! Требования:  Ориентированность на клиента и умение работать с людьми; Соблюдение стандартов сервиса; Готовность к обучению; Ответственный подход к работе и выполнение поставленных задач в срок."
Бариста-кассир,https://hh.ru/vacancy/115063904?query=%D0%B1%D0%B0%D1%80%D0%B8%D1%81%D1%82%D0%B0&hhtmFrom=vacancy_search_list,Не указана,Не указана,
