name,price,restaurant_name
Эспрессо (250 мл),150 ₽,Pravda Coffee
Американо (250 мл),150 ₽,Pravda Coffee
Американо (350 мл),200 ₽,Pravda Coffee
Американо (450 мл),250 ₽,Pravda Coffee
Американо (550 мл),300 ₽,Pravda Coffee
Капучино (250 мл),150 ₽,Pravda Coffee
Капучино (350 мл),200 ₽,Pravda Coffee
Капучино (450 мл),250 ₽,Pravda Coffee
Капучино (550 мл),300 ₽,Pravda Coffee
Латте (350 мл),200 ₽,Pravda Coffee
Латте (450 мл),250 ₽,Pravda Coffee
Латте (550 мл),300 ₽,Pravda Coffee
Флэт уайт (250 мл),150 ₽,Pravda Coffee
Латте соленая карамель (350 мл),250 ₽,Pravda Coffee
Латте соленая карамель (450 мл),300 ₽,Pravda Coffee
Латте соленая карамель (550 мл),350 ₽,Pravda Coffee
Какао (350 мл),250 ₽,Pravda Coffee
Какао (450 мл),300 ₽,Pravda Coffee
Какао (550 мл),350 ₽,Pravda Coffee
Латте сырный (350 мл),250 ₽,Pravda Coffee
Латте сырный (450 мл),300 ₽,Pravda Coffee
Латте сырный (550 мл),350 ₽,Pravda Coffee
Капучино Персиковое облако (350 мл),250 ₽,Pravda Coffee
Капучино Персиковое облако (450 мл),300 ₽,Pravda Coffee
Капучино Персиковое облако (550 мл),350 ₽,Pravda Coffee
Раф Вишневый тарт (350 мл),250 ₽,Pravda Coffee
Раф Вишневый тарт (450 мл),300 ₽,Pravda Coffee
Раф Вишневый тарт (550 мл),350 ₽,Pravda Coffee
Чай земляника (350 мл),250 ₽,Pravda Coffee
Чай земляника (450 мл),300 ₽,Pravda Coffee
Чай земляника (550 мл),350 ₽,Pravda Coffee
Грейп бамбл с шоколадными джус-боллами (450 мл),400 ₽,Pravda Coffee
Грейп бамбл с шоколадными джус-боллами (550 мл),450 ₽,Pravda Coffee
Матча банан с медовыми джус-боллами (450 мл),400 ₽,Pravda Coffee
Матча банан с медовыми джус-боллами (550 мл),450 ₽,Pravda Coffee
Капучино Брауни (350 мл),250 ₽,Pravda Coffee
Капучино Брауни (450 мл),300 ₽,Pravda Coffee
Капучино Брауни (550 мл),350 ₽,Pravda Coffee
Капучино Малина (350 мл),250 ₽,Pravda Coffee
Капучино Малина (450 мл),300 ₽,Pravda Coffee
Капучино Малина (550 мл),350 ₽,Pravda Coffee
Латте тропический (350 мл),250 ₽,Pravda Coffee
Латте тропический (450 мл),300 ₽,Pravda Coffee
Латте тропический (550 мл),350 ₽,Pravda Coffee
Раф Сканди-черника (350 мл),250 ₽,Pravda Coffee
Раф Сканди-черника (450 мл),300 ₽,Pravda Coffee
Раф Сканди-черника (550 мл),350 ₽,Pravda Coffee
Раф кофе классический (450 мл),300 ₽,Pravda Coffee
Раф кофе классический (550 мл),350 ₽,Pravda Coffee
Раф кофе апельсиновый (350 мл),250 ₽,Pravda Coffee
Раф кофе апельсиновый (450 мл),300 ₽,Pravda Coffee
Раф кофе апельсиновый (550 мл),350 ₽,Pravda Coffee
Раф кофе малиновый (350 мл),250 ₽,Pravda Coffee
Раф кофе малиновый (450 мл),300 ₽,Pravda Coffee
Раф кофе малиновый (550 мл),350 ₽,Pravda Coffee
Раф кофе классический (350 мл),250 ₽,Pravda Coffee
Крепкий (100% Arabica Honduras) (8 шт.),380 ₽,Pravda Coffee
Мягкий (100% Arabica Columbia) (8 шт.),380 ₽,Pravda Coffee
Ваниль (100% Arabica Honduras) (8 шт.),380 ₽,Pravda Coffee
Матча (350 мл),250 ₽,Pravda Coffee
Матча (450 мл),300 ₽,Pravda Coffee
Матча (550 мл),350 ₽,Pravda Coffee
Чай в ассортименте (350 мл),170 ₽,Pravda Coffee
Чай в ассортименте (450 мл),230 ₽,Pravda Coffee
Чай в ассортименте (550 мл),270 ₽,Pravda Coffee
Pravda Coffee Смесь Бразилий (250 г),700 ₽,Pravda Coffee
Американо (200 мл),255 ₽,Surf Coffee
Латте (300 мл),345 ₽,Surf Coffee
Латте (400 мл),380 ₽,Surf Coffee
Раф классический (300 мл),397 ₽,Surf Coffee
Эспрессо (40 мл),230 ₽,Surf Coffee
Сэндвич с курицей и песто (1 шт.),450 ₽,Surf Coffee
Сэндвич с пепперони (1 шт.),450 ₽,Surf Coffee
Японский сэндвич с ветчиной (1 шт.),460 ₽,Surf Coffee
Японский сэндвич с креветкой (1 шт.),490 ₽,Surf Coffee
Батончики KICK в ассортименте (1 шт.),260 ₽,Surf Coffee
Круассаны (1 шт.),300 ₽,Surf Coffee
Трубочка со сгущенкой (1 шт.),165 ₽,Surf Coffee
Фирменный чай Биарриц (300 мл),345 ₽,Surf Coffee
Фирменный чай Биарриц (400 мл),395 ₽,Surf Coffee
Альтернативное молоко (200 мл),70 ₽,Surf Coffee
Лимонад Дабл Элевен (300 мл),380 ₽,Surf Coffee
Раф лавандовый (300 мл),450 ₽,Surf Coffee
Айс-мэверик бамбл (300 мл),430 ₽,Surf Coffee
